RC , time (s) , Vin (V) , Vout (V) 
0.1  
      14.673,     1.0,    -5e-12
      14.774,     1.0,    -5e-12
      14.874,     1.0,    -5e-12
      14.975,     1.0,    -5e-12
      15.075,    -1.0,     5e-12
      15.176,    -1.0,     5e-12
      15.276,    -1.0,     5e-12
      15.377,    -1.0,     5e-12
      15.477,    -1.0,     5e-12
      15.578,    -1.0,     5e-12
      15.678,    -1.0,     5e-12
      15.779,    -1.0,     5e-12
      15.879,    -1.0,     5e-12
       15.98,    -1.0,     5e-12
       16.08,     1.0,    -5e-12
      16.181,     1.0,    -5e-12
      16.281,     1.0,    -5e-12
      16.382,     1.0,    -5e-12
      16.482,     1.0,    -5e-12
      16.583,     1.0,    -5e-12
      16.683,     1.0,    -5e-12
      16.784,     1.0,    -5e-12
      16.884,     1.0,    -5e-12
      16.985,     1.0,    -5e-12
      17.085,    -1.0,     5e-12
      17.186,    -1.0,     5e-12
      17.286,    -1.0,     5e-12
      17.387,    -1.0,     5e-12
      17.487,    -1.0,     5e-12
      17.588,    -1.0,     5e-12
      17.688,    -1.0,     5e-12
      17.789,    -1.0,     5e-12
      17.889,    -1.0,     5e-12
       17.99,    -1.0,     5e-12
       18.09,     1.0,    -5e-12
      18.191,     1.0,    -5e-12
      18.291,     1.0,    -5e-12
      18.392,     1.0,    -5e-12
      18.492,     1.0,    -5e-12
      18.593,     1.0,    -5e-12
      18.693,     1.0,    -5e-12
      18.794,     1.0,    -5e-12
      18.894,     1.0,    -5e-12
      18.995,     1.0,    -5e-12
      19.095,    -1.0,     5e-12
      19.196,    -1.0,     5e-12
      19.296,    -1.0,     5e-12
      19.397,    -1.0,     5e-12
      19.497,    -1.0,     5e-12
      19.598,    -1.0,     5e-12
      19.698,    -1.0,     5e-12
      19.799,    -1.0,     5e-12
      19.899,    -1.0,     5e-12
        20.0,     1.0,    -5e-12
1.0  
         0.0,     1.0,    -1e-11
       0.101,     1.0,    -1e-11
       0.201,     1.0,    -1e-11
       0.302,     1.0,    -1e-11
       0.402,     1.0,    -1e-11
       0.503,     1.0,    -1e-11
       0.603,     1.0,    -1e-11
       0.704,     1.0,    -1e-11
       0.804,     1.0,    -1e-11
       0.905,     1.0,    -1e-11
       1.005,    -1.0,     1e-11
       1.106,    -1.0,     1e-11
       1.206,    -1.0,     1e-11
       1.307,    -1.0,     1e-11
       1.407,    -1.0,     1e-11
       1.508,    -1.0,     1e-11
       1.608,    -1.0,     1e-11
       1.709,    -1.0,     1e-11
       1.809,    -1.0,     1e-11
        1.91,    -1.0,     1e-11
        2.01,     1.0,    -1e-11
       2.111,     1.0,    -1e-11
       2.211,     1.0,    -1e-11
       2.312,     1.0,    -1e-11
       2.412,     1.0,    -1e-11
       2.513,     1.0,    -1e-11
       2.613,     1.0,    -1e-11
       2.714,     1.0,    -1e-11
       2.814,     1.0,    -1e-11
       2.915,     1.0,    -1e-11
       3.015,    -1.0,     1e-11
       3.116,    -1.0,     1e-11
       3.216,    -1.0,     1e-11
       3.317,    -1.0,     1e-11
       3.417,    -1.0,     1e-11
       3.518,    -1.0,     1e-11
       3.618,    -1.0,     1e-11
       3.719,    -1.0,     1e-11
       3.819,    -1.0,     1e-11
        3.92,    -1.0,     1e-11
        4.02,     1.0,    -1e-11
       4.121,     1.0,    -1e-11
       4.221,     1.0,    -1e-11
       4.322,     1.0,    -1e-11
       4.422,     1.0,    -1e-11
       4.523,     1.0,    -1e-11
       4.623,     1.0,    -1e-11
       4.724,     1.0,    -1e-11
       4.824,     1.0,    -1e-11
       4.925,     1.0,    -1e-11
       5.025,    -1.0,     1e-11
       5.126,    -1.0,     1e-11
       5.226,    -1.0,     1e-11
       5.327,    -1.0,     1e-11
       5.427,    -1.0,     1e-11
       5.528,    -1.0,     1e-11
       5.628,    -1.0,     1e-11
       5.729,    -1.0,     1e-11
       5.829,    -1.0,     1e-11
        5.93,    -1.0,     1e-11
        6.03,     1.0,    -1e-11
       6.131,     1.0,    -1e-11
       6.231,     1.0,    -1e-11
       6.332,     1.0,    -1e-11
       6.432,     1.0,    -1e-11
       6.533,     1.0,    -1e-11
       6.633,     1.0,    -1e-11
       6.734,     1.0,    -1e-11
       6.834,     1.0,    -1e-11
       6.935,     1.0,    -1e-11
       7.035,    -1.0,     1e-11
       7.136,    -1.0,     1e-11
       7.236,    -1.0,     1e-11
       7.337,    -1.0,     1e-11
       7.437,    -1.0,     1e-11
       7.538,    -1.0,     1e-11
       7.638,    -1.0,     1e-11
       7.739,    -1.0,     1e-11
       7.839,    -1.0,     1e-11
        7.94,    -1.0,     1e-11
        8.04,     1.0,    -1e-11
       8.141,     1.0,    -1e-11
       8.241,     1.0,    -1e-11
       8.342,     1.0,    -1e-11
       8.442,     1.0,    -1e-11
       8.543,     1.0,    -1e-11
       8.643,     1.0,    -1e-11
       8.744,     1.0,    -1e-11
       8.844,     1.0,    -1e-11
       8.945,     1.0,    -1e-11
       9.045,    -1.0,     1e-11
       9.146,    -1.0,     1e-11
       9.246,    -1.0,     1e-11
       9.347,    -1.0,     1e-11
       9.447,    -1.0,     1e-11
       9.548,    -1.0,     1e-11
       9.648,    -1.0,     1e-11
       9.749,    -1.0,     1e-11
       9.849,    -1.0,     1e-11
        9.95,    -1.0,     1e-11
       10.05,     1.0,    -1e-11
      10.151,     1.0,    -1e-11
      10.251,     1.0,    -1e-11
      10.352,     1.0,    -1e-11
      10.452,     1.0,    -1e-11
      10.553,     1.0,    -1e-11
      10.653,     1.0,    -1e-11
      10.754,     1.0,    -1e-11
      10.854,     1.0,    -1e-11
      10.955,     1.0,    -1e-11
      11.055,    -1.0,     1e-11
      11.156,    -1.0,     1e-11
      11.256,    -1.0,     1e-11
      11.357,    -1.0,     1e-11
      11.457,    -1.0,     1e-11
      11.558,    -1.0,     1e-11
      11.658,    -1.0,     1e-11
      11.759,    -1.0,     1e-11
      11.859,    -1.0,     1e-11
       11.96,    -1.0,     1e-11
       12.06,     1.0,    -1e-11
      12.161,     1.0,    -1e-11
      12.261,     1.0,    -1e-11
      12.362,     1.0,    -1e-11
      12.462,     1.0,    -1e-11
      12.563,     1.0,    -1e-11
      12.663,     1.0,    -1e-11
      12.764,     1.0,    -1e-11
      12.864,     1.0,    -1e-11
      12.965,     1.0,    -1e-11
      13.065,    -1.0,     1e-11
      13.166,    -1.0,     1e-11
      13.266,    -1.0,     1e-11
      13.367,    -1.0,     1e-11
      13.467,    -1.0,     1e-11
      13.568,    -1.0,     1e-11
      13.668,    -1.0,     1e-11
      13.769,    -1.0,     1e-11
      13.869,    -1.0,     1e-11
       13.97,    -1.0,     1e-11
       14.07,     1.0,    -1e-11
      14.171,     1.0,    -1e-11
      14.271,     1.0,    -1e-11
      14.372,     1.0,    -1e-11
      14.472,     1.0,    -1e-11
      14.573,     1.0,    -1e-11
      14.673,     1.0,    -1e-11
      14.774,     1.0,    -1e-11
      14.874,     1.0,    -1e-11
      14.975,     1.0,    -1e-11
      15.075,    -1.0,     1e-11
      15.176,    -1.0,     1e-11
      15.276,    -1.0,     1e-11
      15.377,    -1.0,     1e-11
      15.477,    -1.0,     1e-11
      15.578,    -1.0,     1e-11
      15.678,    -1.0,     1e-11
      15.779,    -1.0,     1e-11
      15.879,    -1.0,     1e-11
